ST,Year,half,alldrugs_seizure_count
TX,1997,2,22
TX,1998,1,211
TX,1998,2,2042
TX,1999,1,6494
TX,1999,2,6597
TX,2000,1,6966
TX,2000,2,7376
TX,2001,1,10229
TX,2001,2,9201
TX,2002,1,10516
TX,2002,2,10645
TX,2003,1,12341
TX,2003,2,12888
TX,2004,1,15516
TX,2004,2,14290
TX,2005,1,17324
TX,2005,2,16574
TX,2006,1,18171
TX,2006,2,16239
TX,2007,1,20131
TX,2007,2,14950
TX,2008,1,15628
TX,2008,2,15624
TX,2009,1,19038
TX,2009,2,17204
TX,2010,1,20191
TX,2010,2,19118
TX,2011,1,21222
TX,2011,2,16611
TX,2012,1,22589
TX,2012,2,19405
TX,2013,1,20329
TX,2013,2,20687
TX,2014,1,27851
TX,2014,2,26942
TX,2015,1,30377
TX,2015,2,30866
TX,2016,1,35679
TX,2016,2,32077
TX,2017,1,38018
TX,2017,2,35694
TX,2018,1,38703
TX,2018,2,36020
TX,2019,1,39176
TX,2019,2,35282
TX,2020,1,35760
TX,2020,2,35430
TX,2021,1,37839
TX,2021,2,31490
TX,2022,1,32789
TX,2022,2,29538
UT,1997,1,2
UT,1998,1,37
UT,1998,2,67
UT,1999,1,89
UT,1999,2,263
UT,2000,1,1982
UT,2000,2,2011
UT,2001,1,2525
UT,2001,2,2338
UT,2002,1,2355
UT,2002,2,2581
UT,2003,1,3354
UT,2003,2,3334
UT,2004,1,4842
UT,2004,2,3810
UT,2005,1,3851
UT,2005,2,3200
UT,2006,1,2444
UT,2006,2,2677
UT,2007,1,3924
UT,2007,2,3179
UT,2008,1,3196
UT,2008,2,3350
UT,2009,1,2967
UT,2009,2,3117
UT,2010,1,3310
UT,2010,2,2347
UT,2011,1,3296
UT,2011,2,3769
UT,2012,1,4713
UT,2012,2,3626
UT,2013,1,3421
UT,2013,2,2810
UT,2014,1,3753
UT,2014,2,3409
UT,2015,1,3284
UT,2015,2,2940
UT,2016,1,2068
UT,2016,2,1214
UT,2017,1,1429
UT,2017,2,1393
UT,2018,1,1525
UT,2018,2,1335
UT,2019,1,1465
UT,2019,2,1198
UT,2020,1,863
UT,2020,2,760
UT,2021,1,1144
UT,2021,2,999
UT,2022,1,1154
UT,2022,2,1025
VA,1997,1,2
VA,1998,1,10
VA,1998,2,395
VA,1999,1,1262
VA,1999,2,1840
VA,2000,1,2448
VA,2000,2,3148
VA,2001,1,3179
VA,2001,2,3216
VA,2002,1,3673
VA,2002,2,3244
VA,2003,1,3958
VA,2003,2,3721
VA,2004,1,4734
VA,2004,2,4771
VA,2005,1,5310
VA,2005,2,5343
VA,2006,1,5839
VA,2006,2,5724
VA,2007,1,6427
VA,2007,2,6263
VA,2008,1,7040
VA,2008,2,7000
VA,2009,1,8277
VA,2009,2,7978
VA,2010,1,8251
VA,2010,2,8636
VA,2011,1,10679
VA,2011,2,10071
VA,2012,1,10738
VA,2012,2,10911
VA,2013,1,10697
VA,2013,2,10243
VA,2014,1,10914
VA,2014,2,10036
VA,2015,1,10128
VA,2015,2,10441
VA,2016,1,11890
VA,2016,2,11581
VA,2017,1,13907
VA,2017,2,13223
VA,2018,1,14304
VA,2018,2,13343
VA,2019,1,15022
VA,2019,2,15088
VA,2020,1,14964
VA,2020,2,15593
VA,2021,1,17469
VA,2021,2,15178
VA,2022,1,16084
VA,2022,2,15656
VI,2000,1,10
VI,2000,2,2
VI,2001,1,11
VI,2001,2,9
VI,2002,1,10
VI,2002,2,3
VI,2003,1,3
VI,2003,2,9
VI,2004,1,7
VI,2005,1,4
VI,2005,2,4
VI,2006,1,15
VI,2006,2,50
VI,2007,1,25
VI,2007,2,3
VI,2008,1,2
VI,2008,2,3
VI,2009,1,7
VI,2009,2,8
VI,2010,1,15
VI,2010,2,5
VI,2011,1,49
VI,2011,2,18
VI,2012,1,11
VI,2012,2,7
VI,2013,1,22
VI,2013,2,8
VI,2014,1,21
VI,2014,2,50
VI,2015,1,18
VI,2015,2,12
VI,2016,1,1
VI,2016,2,6
VI,2017,1,4
VI,2017,2,6
VI,2018,1,1
VI,2018,2,2
VI,2019,1,5
VI,2019,2,3
VI,2020,1,7
VI,2020,2,2
VI,2021,1,6
VI,2021,2,7
VI,2022,1,3
VI,2022,2,8
VT,1999,2,1
VT,2000,1,16
VT,2000,2,19
VT,2001,1,40
VT,2001,2,7
VT,2002,1,11
VT,2002,2,8
VT,2003,1,16
VT,2003,2,13
VT,2004,1,11
VT,2004,2,6
VT,2005,1,14
VT,2005,2,22
VT,2006,1,16
VT,2006,2,19
VT,2007,1,10
VT,2007,2,15
VT,2008,1,6
VT,2008,2,50
VT,2009,1,128
VT,2009,2,140
VT,2010,1,119
VT,2010,2,143
VT,2011,1,102
VT,2011,2,113
VT,2012,1,123
VT,2012,2,120
VT,2013,1,82
VT,2013,2,80
VT,2014,1,90
VT,2014,2,90
VT,2015,1,149
VT,2015,2,125
VT,2016,1,174
VT,2016,2,275
VT,2017,1,265
VT,2017,2,413
VT,2018,1,657
VT,2018,2,655
VT,2019,1,606
VT,2019,2,804
VT,2020,1,677
VT,2020,2,1139
VT,2021,1,978
VT,2021,2,1368
VT,2022,1,824
VT,2022,2,394
WA,1998,1,7
WA,1998,2,1
WA,1999,1,5
WA,1999,2,37
WA,2000,1,297
WA,2000,2,2908
WA,2001,1,7022
WA,2001,2,4142
WA,2002,1,3952
WA,2002,2,3856
WA,2003,1,4604
WA,2003,2,4724
WA,2004,1,5003
WA,2004,2,4705
WA,2005,1,5354
WA,2005,2,5159
WA,2006,1,5023
WA,2006,2,5332
WA,2007,1,5806
WA,2007,2,4366
WA,2008,1,4122
WA,2008,2,3928
WA,2009,1,3940
WA,2009,2,3339
WA,2010,1,3632
WA,2010,2,3426
WA,2011,1,3836
WA,2011,2,3497
WA,2012,1,4063
WA,2012,2,3827
WA,2013,1,3716
WA,2013,2,3562
WA,2014,1,3883
WA,2014,2,3519
WA,2015,1,3709
WA,2015,2,3862
WA,2016,1,4436
WA,2016,2,4102
WA,2017,1,4393
WA,2017,2,4125
WA,2018,1,4526
WA,2018,2,4620
WA,2019,1,4989
WA,2019,2,5152
WA,2020,1,5311
WA,2020,2,5051
WA,2021,1,3180
WA,2021,2,2301
WA,2022,1,3196
WA,2022,2,3684
WI,1998,2,2
WI,1999,2,3
WI,2000,1,9
WI,2000,2,22
WI,2001,1,40
WI,2001,2,46
WI,2002,1,87
WI,2002,2,29
WI,2003,1,41
WI,2003,2,173
WI,2004,1,758
WI,2004,2,1186
WI,2005,1,1474
WI,2005,2,1579
WI,2006,1,1715
WI,2006,2,1569
WI,2007,1,1630
WI,2007,2,1379
WI,2008,1,1434
WI,2008,2,1570
WI,2009,1,1751
WI,2009,2,1714
WI,2010,1,1728
WI,2010,2,1663
WI,2011,1,1728
WI,2011,2,1886
WI,2012,1,2399
WI,2012,2,2019
WI,2013,1,2067
WI,2013,2,2038
WI,2014,1,2388
WI,2014,2,2371
WI,2015,1,2321
WI,2015,2,2373
WI,2016,1,2722
WI,2016,2,2538
WI,2017,1,2581
WI,2017,2,2186
WI,2018,1,2219
WI,2018,2,1946
WI,2019,1,1786
WI,2019,2,2002
WI,2020,1,2151
WI,2020,2,1921
WI,2021,1,2410
WI,2021,2,2191
WI,2022,1,2184
WI,2022,2,1820
WV,1999,1,15
WV,1999,2,162
WV,2000,1,464
WV,2000,2,361
WV,2001,1,843
WV,2001,2,358
WV,2002,1,347
WV,2002,2,255
WV,2003,1,465
WV,2003,2,703
WV,2004,1,913
WV,2004,2,360
WV,2005,1,1256
WV,2005,2,910
WV,2006,1,1244
WV,2006,2,1204
WV,2007,1,1053
WV,2007,2,1136
WV,2008,1,1108
WV,2008,2,312
WV,2009,1,1628
WV,2009,2,1434
WV,2010,1,1592
WV,2010,2,1639
WV,2011,1,1883
WV,2011,2,2223
WV,2012,1,2093
WV,2012,2,1717
WV,2013,1,2137
WV,2013,2,1532
WV,2014,1,1596
WV,2014,2,1254
WV,2015,1,1197
WV,2015,2,1215
WV,2016,1,1371
WV,2016,2,1372
WV,2017,1,1987
WV,2017,2,1994
WV,2018,1,2267
WV,2018,2,2077
WV,2019,1,3074
WV,2019,2,2660
WV,2020,1,2515
WV,2020,2,2918
WV,2021,1,4841
WV,2021,2,4030
WV,2022,1,3791
WV,2022,2,3662
WY,1999,2,1
WY,2000,1,3
WY,2000,2,47
WY,2001,1,637
WY,2001,2,530
WY,2002,1,895
WY,2002,2,672
WY,2003,1,879
WY,2003,2,643
WY,2004,1,1071
WY,2004,2,541
WY,2005,1,1105
WY,2005,2,1037
WY,2006,1,957
WY,2006,2,874
WY,2007,1,1202
WY,2007,2,628
WY,2008,1,721
WY,2008,2,624
WY,2009,1,536
WY,2009,2,664
WY,2010,1,589
WY,2010,2,448
WY,2011,1,733
WY,2011,2,608
WY,2012,1,735
WY,2012,2,907
WY,2013,1,1016
WY,2013,2,954
WY,2014,1,900
WY,2014,2,1062
WY,2015,1,1170
WY,2015,2,1111
WY,2016,1,1418
WY,2016,2,1355
WY,2017,1,1458
WY,2017,2,1295
WY,2018,1,1435
WY,2018,2,1417
WY,2019,1,1482
WY,2019,2,1372
WY,2020,1,1073
WY,2020,2,1012
WY,2021,1,1184
WY,2021,2,948
WY,2022,1,1233
WY,2022,2,1272
XX,2008,1,4
XX,2008,2,55
XX,2009,1,73
XX,2009,2,173
XX,2010,1,118
XX,2010,2,160
XX,2011,1,132
XX,2011,2,152
XX,2012,1,493
XX,2012,2,213
XX,2013,1,335
XX,2013,2,168
XX,2014,1,210
XX,2014,2,8
XX,2015,1,1
XX,2015,2,2
XX,2016,1,18
XX,2016,2,20
XX,2017,1,14
XX,2017,2,4
XX,2018,1,9
XX,2018,2,14
XX,2019,1,27
XX,2019,2,15
XX,2020,1,2
XX,2020,2,24
XX,2021,1,10
XX,2021,2,6
XX,2022,1,4
