ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count,Date
DE,2018,1,127,0,2018-04-01
DE,2018,2,120,0,2018-10-01
DE,2019,1,28,0,2019-04-01
DE,2019,2,37,0,2019-10-01
DE,2020,1,9,0,2020-04-01
DE,2020,2,9,0,2020-10-01
DE,2021,1,21,0,2021-04-01
DE,2021,2,27,0,2021-10-01
DE,2022,1,57,0,2022-04-01
DE,2022,2,22,0,2022-10-01
FL,1998,1,0,0,1998-04-01
FL,1998,2,0,0,1998-10-01
FL,1999,1,0,0,1999-04-01
FL,1999,2,4,0,1999-10-01
FL,2000,1,2,0,2000-04-01
FL,2000,2,1,0,2000-10-01
FL,2001,1,1,0,2001-04-01
FL,2001,2,1,0,2001-10-01
FL,2002,1,1,0,2002-04-01
FL,2002,2,4,0,2002-10-01
FL,2003,1,10,0,2003-04-01
FL,2003,2,9,0,2003-10-01
FL,2004,1,4,0,2004-04-01
FL,2004,2,6,0,2004-10-01
FL,2005,1,2,0,2005-04-01
FL,2005,2,6,0,2005-10-01
FL,2006,1,3,0,2006-04-01
FL,2006,2,9,0,2006-10-01
FL,2007,1,5,0,2007-04-01
FL,2007,2,8,0,2007-10-01
FL,2008,1,7,0,2008-04-01
FL,2008,2,6,0,2008-10-01
FL,2009,1,8,0,2009-04-01
FL,2009,2,9,0,2009-10-01
FL,2010,1,8,0,2010-04-01
FL,2010,2,4,0,2010-10-01
FL,2011,1,4,0,2011-04-01
FL,2011,2,4,0,2011-10-01
FL,2012,1,6,0,2012-04-01
FL,2012,2,7,0,2012-10-01
FL,2013,1,8,0,2013-04-01
FL,2013,2,27,0,2013-10-01
FL,2014,1,74,0,2014-04-01
FL,2014,2,169,0,2014-10-01
FL,2015,1,288,0,2015-04-01
FL,2015,2,426,0,2015-10-01
FL,2016,1,694,1,2016-04-01
FL,2016,2,979,216,2016-10-01
FL,2017,1,1259,248,2017-04-01
FL,2017,2,1502,207,2017-10-01
